Name;File Extension;Título;Artistas participantes;Álbum;Tamanho;Artista do Álbum
08_Meus Heróis.mp3;.mp3;Meus Heróis;Fabio Brazza;Filho da Pátria;4.961 KB;
09 - Confesso Eu sou cafajeste.mp3;.mp3;Confesso Eu Sou Cafajeste;;;5.861 KB;
09 Teorema de Carlão.mp3;.mp3;;;;3.885 KB;
09 Your Love.wma;.wma;Your Love;The Outfield;Classic Metal;3.385 KB;Varios
09-italobrothers-counting_down_the_days_(cascada_radio_edit).mp3;.mp3;Counting Down The Days (Cascada Radio Edit);Italobrothers;Stamp;7.623 KB;
09. Se Potessi.mp3;.mp3;Se Potessi;Annalisa;Splende;8.625 KB;Annalisa
09_Acorda.mp3;.mp3;Acorda;Fabio Brazza;Filho da Pátria;4.585 KB;
10 - Tentação.mp3;.mp3;Tentação;;;6.316 KB;
10 Creuza.mp3;.mp3;;;;2.786 KB;
10 Did It All For Love.wma;.wma;Did It All For Love;Troller;Classic Metal;4.249 KB;Varios
10-italobrothers-it_must_have_been_love.mp3;.mp3;It Must Have Been Love;Italobrothers;Stamp;7.518 KB;
10. Posizione Fetale.mp3;.mp3;Posizione Fetale;Annalisa;Splende;8.390 KB;Annalisa
10_História de Cinema.mp3;.mp3;História de Cinema;Fabio Brazza;Filho da Pátria;8.256 KB;
11 - Se Essa Culpa Fosse Minha.mp3;.mp3;Se Essa Culpa Fosse Minha;;;5.752 KB;
11 Como nossos pais (nos aguentam).mp3;.mp3;Como Nossos Pais Nos Aguentam;;Álbum Desconhecido (7/10/2008 18:03:43);3.289 KB;
11 We're Not Gonna Take It.wma;.wma;We're Not Gonna Take It;Twisted Sister;Classic Metal;3.420 KB;Varios
11-italobrothers-the_moon.mp3;.mp3;The Moon;Italobrothers;Stamp;7.875 KB;
11. Ti Sento.mp3;.mp3;Ti Sento;Annalisa;Splende;7.413 KB;Annalisa
11. Wing$ 776.m4a;.m4a;Wing$;Macklemore & Ryan Lewis;The Heist (Deluxe Edition);9.803 KB;Macklemore & Ryan Lewis
11_Desde Muito Tempo Atrás.mp3;.mp3;Muito Tempo Atráś;Fabio Brazza;Filho da Pátria;9.398 KB;
12 - A Banda do Meio do Mato.mp3;.mp3;A Banda do Meio do Mato;;;7.237 KB;
12 Epic.wma;.wma;Epic;Faith no More;Classic Metal;4.599 KB;Varios
12-italobrothers-put_your_hands_up_in_the_air.mp3;.mp3;Put Your Hands Up In The Air;Italobrothers;Stamp;7.311 KB;
12_Mãe.mp3;.mp3;Mãẽ;Fabio Brazza;Filho da Pátria;8.068 KB;
13 - Mas i Love You.mp3;.mp3;Mas I Love You;;;3.950 KB;
13 Open Highway.wma;.wma;Open Highway;Flarow;Classic Metal;3.420 KB;Varios
13-italobrothers-where_are_you_now.mp3;.mp3;Where Are You Now;Italobrothers;Stamp;7.332 KB;
14 Hard Metal.wma;.wma;Hard Metal;Klaus Spencer;Classic Metal;2.901 KB;Varios
14-italobrothers-moonlight_shadow.mp3;.mp3;Moonlight Shadow;Italobrothers;Stamp;7.308 KB;
17. My Oh My 776.m4a;.m4a;My Oh My;Macklemore & Ryan Lewis;The Heist (Deluxe Edition);8.422 KB;Macklemore & Ryan Lewis
18. Night Of Your Life (feat. Jennifer Hudson) - www.musicasparabaixar.org.mp3;.mp3;Night Of Your Life (feat. Jennifer Hudson);David Guetta - www.musicasparabaixar.org;Greatest Hits - www.musicasparabaixar.org;8.763 KB;www.musicasparabaixar.org
2. Can't Hold Us (feat. Ray Dalton) 776.m4a;.m4a;Can't Hold Us (feat. Ray Dalton);Macklemore & Ryan Lewis;The Heist (Deluxe Edition);8.889 KB;Macklemore & Ryan Lewis
2012 (If the World Would End) (Radio Mix)  - Evelyn, Mike Candys, Patrick Miller.mp3;.mp3;2012 (If the World Would End) (Radio Mix);Va - www.musicasparabaixar.org;Clubland Vol. 02 - www.musicasparabaixar.org;6.567 KB;www.musicasparabaixar.org
4 Non Blondes - What's Up.m4a;.m4a;4 Non Blondes - What's Up;;;4.631 KB;
7. Neon Cathedral (feat. Allen Stone) 776.m4a;.m4a;Neon Cathedral (feat. Allen Stone);Macklemore & Ryan Lewis;The Heist (Deluxe Edition);8.887 KB;Macklemore & Ryan Lewis
A Light That Never Comes (Coone Remix) - Linkin Park x Steve Aoki (Official Musi.m4a;.m4a;A Light That Never Comes (Coone Remix);;;4.088 KB;
Adele - Someone Like You.m4a;.m4a;Adele - Someone Like You;;;4.418 KB;
Adoniran Barbosa - Samba do Arnesto.m4a;.m4a;Adoniran Barbosa - Samba do Arnesto;;;2.353 KB;
Adoniran Barbosa - Trem das onze (1964).m4a;.m4a;Adoniran Barbosa - Trem das onze;;;2.547 KB;
Aero Chord - Surface (Bass Boosted).m4a;.m4a;Aero Chord - Surface (Bass Boosted);;;3.948 KB;
Aero Chord - Warrior of the Night.m4a;.m4a;Aero Chord - Warrior of the Night;;;3.942 KB;
Aerosmith Armagedon.mp3;.mp3;Aerosmith Armagedon;Alvaro Mamute;;4.463 KB;
Agora é tarde.mp3;.mp3;Agora é tarde;Ultraje a Rigor;Acústico MTV;4.472 KB;Ultraje a Rigor
Alcione - Você Me Vira a Cabeça.mp3;.mp3;Você Me Vira A Cabeça (Me Tira Do Sério);Alcione;;8.999 KB;
Alesso - Years [Radio Edit].mp3;.mp3;Alesso - Years [Radio Edit];Alesso & Mathew Koma;;3.189 KB;
All Of Me - John Legend & Lindsey Stirling.mp3;.mp3;All Of Me - John Legend & Lindsey Stirling;;;9.776 KB;
Ana Carolina, Seu Jorge - É Isso Aí (The Blower s Daughter) (2).mp3;.mp3;É Isso Aí (The Blower's Daughter);Ana Carolina & Seu Jorge;;10.032 KB;
Andrea Bocelli - Por Una Cabeza.mp3;.mp3;;;;4.731 KB;
Annalisa - L Ultimo Addio (Videoclip Ufficiale).mp3;.mp3;Annalisa - L Ultimo Addio (Videoclip Ufficiale);;;6.903 KB;
Annalisa - Scintille (videoclip).mp3;.mp3;Annalisa - Scintille (videoclip);;;5.963 KB;
Annalisa - Sento solo il presente (Videoclip Ufficiale).mp3;.mp3;Annalisa - Sento solo il presente (Videoclip Ufficiale);;;7.290 KB;
Annalisa - Senza riserva (videoclip).mp3;.mp3;Annalisa  - Senza riserva;Annalisa;;5.837 KB;
Annalisa - Tra due minuti è primavera (videoclip).mp3;.mp3;Annalisa - Tra due minuti è primavera (videoclip);;;6.753 KB;
Annalisa - Un Bacio Prima di Morire.mp3;.mp3;Un Bacio Prima di Morire;Annalisa;Splende;7.232 KB;
Annalisa - Una Finestra tra le Stelle (Official Video) [Sanremo 2015].mp3;.mp3;Annalisa - Una Finestra tra le Stelle (Official Video) [Sanremo 2015];;;7.004 KB;
Antonio Vivaldi - Summer (Full) - The Four Seasons.mp3;.mp3;Four Seasons: Summer 3rd Mvt., The;Antonio Vivaldi;;20.922 KB;
ARASH feat Helena - ONE DAY (Official Video).mp3;.mp3;ARASH feat Helena - ONE DAY (Official Video);;;8.840 KB;
ARASH feat Helena- Broken Angel (Official Video).mp3;.mp3;ARASH feat Helena- Broken Angel (Official Video);;;6.336 KB;
Arash feat. T-Pain  Sex Love Rock N Roll (SLR)  Official Video.mp3;.mp3;Arash feat. T-Pain  Sex Love Rock N Roll (SLR)  Official Video;;;5.959 KB;
Armin Van Buuren - Shivers (Frontliner Remix) [HQ].m4a;.m4a;Armin Van Buuren - Shivers (Frontliner Remix) [HQ];;;4.188 KB;
Avicii & Project 46 feat. Daphne - Crime (Tom Noob Remix).mp3;.mp3;Avicii & Project 46 feat. Daphne - Crime (Tom Noob Remix);Alvaro Mamute;;4.222 KB;
Avicii - Hey Brother (Lyric).mp3;.mp3;;;;4.044 KB;
Avicii - Play (2012).mp3;.mp3;Avicii - Play (2012);Alvaro Mamute;;9.848 KB;
Avicii - Silhouettes .mp3;.mp3;NEW 2012 ! Avicii - Silhouettes (Original Radio Edit) [HQ];;;3.314 KB;
Avicii - Super Mario World Levels (Full Version).mp3;.mp3;Avicii - Super Mario World Levels (Full Version);;;3.564 KB;
Avicii vs Nicky Romero - I Could Be The One [Lyrics].mp3;.mp3;Avicii vs Nicky Romero - I Could Be The One [Lyrics];;;3.286 KB;
AYSEL & ARASH- Always Official Video (Short Version) ESC 2009.mp3;.mp3;AYSEL & ARASH- Always Official Video (Short Version) ESC 2009;;;5.668 KB;
Azuro Feat. Elly - Je Ne Sais Pas (R.I.O. Video Edit) (Official Video HD).mp3;.mp3;Azuro Feat. Elly - Je Ne Sais Pas (R.I.O. Video Edit) (Official Video HD);;;3.238 KB;
Azuro ft. Elly - Toca Me (Dan Winter Radio Edit) (HQ).mp3;.mp3;Azuro ft. Elly - Toca Me (Dan Winter Radio Edit) (HQ);;;7.659 KB;
B.O. - 4x Ole (inkl. Songtext).m4a;.m4a;B.O. - 4x Ole (inkl. Songtext);;;5.242 KB;
B.O. - Anti Köln (1-2) (inkl. Songtext).m4a;.m4a;B.O. - Anti Köln (1-2) (inkl. Songtext);;;3.150 KB;
B.O. - Anti Köln (2-2) (inkl. Songtext).m4a;.m4a;B.O. - Anti Köln (2-2) (inkl. Songtext);;;4.142 KB;
B.O. - Die Seele brennt (inkl. Songtext).m4a;.m4a;B.O. - Die Seele brennt (inkl. Songtext);;;3.780 KB;
B.O. - Olé schwarz-weiß Olé (inkl. Songtext).m4a;.m4a;B.O. - Olé schwarz-weiß Olé (inkl. Songtext);;;2.483 KB;
B.O. - We Love Borussia - We do '1te Version' (inkl. Songtext).m4a;.m4a;B.O. - We Love Borussia - We do '1te Version' (inkl. Songtext);;;2.370 KB;
B.O. - Wir träumen nur von Mönchengladbach (inkl. Songtext).m4a;.m4a;B.O. - Wir träumen nur von Mönchengladbach (inkl. Songtext);;;3.103 KB;
Bach - Cello Suite No.1 i-Prelude.mp3;.mp3;Suite for Cello Solo No.1 in G, BWV 1007 : 1. Prélude;Johann Sebastian Bach;;4.913 KB;
Barack Obama vs Mitt Romney. Epic Rap Battles Of History Season 2..mp3;.mp3;Barack Obama vs Mitt Romney. Epic Rap Battles Of History Season 2.;;;3.270 KB;
Basshunter   All I Ever Wanted DOWNLOAD OUT NOW!!.mp3;.mp3;Basshunter   All I Ever Wanted DOWNLOAD OUT NOW!!;;;6.401 KB;
Basshunter - Angel In The Night (OFFICIAL VIDEO) (Ultra Music).mp3;.mp3;Angel in the Night;Basshunter;;5.691 KB;
Basshunter - Boten Anna (HQ).mp3;.mp3;Boten Anna;Basshunter;;6.427 KB;
Basshunter - Calling Time (Official Video).mp3;.mp3;Calling Time;Basshunter;;5.871 KB;
Basshunter - Can You (Album Version).m4a;.m4a;Basshunter - Can You (Album Version);;;2.322 KB;
Basshunter - Day & Night (Album Version).m4a;.m4a;Basshunter - Day & Night (Album Version);;;2.797 KB;
Basshunter - Don't Walk Away (Album Version).m4a;.m4a;Basshunter - Don't Walk Away (Album Version);;;2.896 KB;
Basshunter - Dream On The Dancefloor (Official Video).mp3;.mp3;Dream On the Dancefloor (Rude Dog Remix);Basshunter;;6.070 KB;
Basshunter - Elinor.mp3;.mp3;Elinor;Basshunter;;5.942 KB;
Basshunter - Every Morning (Ultra Music).mp3;.mp3;Every Morning;Basshunter;;6.805 KB;
Basshunter - Far Far Away NEW SONG 2013 with Lyrics HD.mp3;.mp3;Basshunter - Far Far Away NEW SONG 2013 with Lyrics HD;;;8.557 KB;
Basshunter - Far From Home (Album Version).m4a;.m4a;Basshunter - Far From Home (Album Version);;;3.961 KB;
Basshunter - I Can't Deny (Album Version).m4a;.m4a;Basshunter - I Can't Deny (Album Version);;;3.805 KB;
Basshunter - I Know U Know (Album Version).m4a;.m4a;Basshunter - I Know U Know (Album Version);;;2.633 KB;
Basshunter - I Miss You (OFFICIAL VIDEO) (Ultra Music).mp3;.mp3;I Miss You;Basshunter;;5.357 KB;
Basshunter - I Promised Myself (Album Version).m4a;.m4a;Basshunter - I Promised Myself (Album Version);;;2.512 KB;
Basshunter - I Still Love (Album Version).m4a;.m4a;Basshunter - I Still Love (Album Version);;;3.365 KB;
Basshunter - I Will Learn To Love Again (Album Version).m4a;.m4a;Basshunter - I Will Learn To Love Again (Album Version);;;2.990 KB;
Basshunter - In Her Eyes (HQ).mp3;.mp3;In Her Eyes;Basshunter;;7.447 KB;
Basshunter - Now You re Gone (Ultra Music).mp3;.mp3;Now You're Gone;Basshunter;;5.250 KB;
Basshunter - Plane To Spain (Album Version).m4a;.m4a;Basshunter - Plane To Spain (Album Version);;;3.531 KB;
Basshunter - Why (Album Version).mp3;.mp3;Why;Basshunter;;7.672 KB;
Basshunter - Without Stars (Swedish Version).m4a;.m4a;Basshunter - Without Stars (Swedish Version);;;3.700 KB;
Bastille - Pompeii (Audien Remix).mp3;.mp3;;;;8.753 KB;
Beyond The Veil - Lindsey Stirling (Original Song).mp3;.mp3;;;;8.829 KB;
Bingo Players - Knock You Out (Lyric Video) [OUT NOW].mp3;.mp3;;;;6.285 KB;
Bingo Players - Out Of My Mind (Official Video HD).mp3;.mp3;;;;3.421 KB;
Biquini Cavadão - Roda Gigante (letra).m4a;.m4a;Biquini Cavadão - Roda Gigante (letra);;;2.940 KB;
Blasterjaxx & DBSTF feat. Ryder - Beautiful World (D-Block & S-Te-Fan Remix) [OUT NOW!].mp3;.mp3;Blasterjaxx & DBSTF feat. Ryder - Beautiful World (D-Block & S-Te-Fan Remix) [OUT NOW!];;;8.319 KB;
Breaking Benjamin - Follow (with Lyrics).m4a;.m4a;Breaking Benjamin - Follow (with Lyrics);;;3.076 KB;
Built By Titan - Blind (ft. Young Brother).m4a;.m4a;Built By Titan - Blind (ft. Young Brother);;;4.606 KB;
BURNS - Lies (Otto Knows Remix).mp3;.mp3;BURNS - Lies (Otto Knows Remix);;;3.322 KB;
Cada um por si.mp3;.mp3;Cada um por si;Ultraje a Rigor;Acústico MTV;4.564 KB;Ultraje a Rigor
Calvin Harris & Alesso - Under Control ft. Hurts.mp3;.mp3;;;;6.203 KB;
Calvin Harris - Blame (Audio) ft. John Newman.mp3;.mp3;Blame;Calvin Harris;;8.247 KB;
Calvin Harris feat. Ne-Yo - Let s Go (Vicetone Remix).mp3;.mp3;Calvin Harris feat. Ne-Yo - Let s Go (Vicetone Remix);;;8.675 KB;
Calvin Harris feat. Ne-Yo - Let's Go (Vicetone Remix).mp3;.mp3;Calvin Harris feat. Ne-Yo - Let's Go (Vicetone Remix);;;4.338 KB;
Calvin Harris ft. Ellie Goulding - I Need Your Love (Da Tweekaz Bootleg).mp3;.mp3;I Need Your Love ft. Ellie Goulding;Calvin Harris;;6.077 KB;
Calvin Harris ft. Florence Welch- Sweet Nothing LYRICS.mp3;.mp3;Calvin Harris ft. Florence Welch- Sweet Nothing LYRICS;;;3.253 KB;
Can't Stop Me (Radio Edit) - Afrojack, Shermanology -.mp3;.mp3;Can't Stop Me (Radio Edit);Va - www.musicasparabaixar.org;Clubland Vol. 02 - www.musicasparabaixar.org;7.814 KB;www.musicasparabaixar.org
Carlprit - Fiesta (Official Video).mp3;.mp3;Carlprit - Fiesta (Official Video);;;3.225 KB;
Cartola - O Mundo é um Moinho.mp3;.mp3;O mundo é um moinho;Cartola;;7.348 KB;
Cascada - A Never Ending Dream (Official Video).mp3;.mp3;Cascada - A Never Ending Dream (Official Video);;;2.971 KB;
Cascada - Bad Boy (lyrics).mp3;.mp3;Cascada - Bad Boy;Cascada;;4.506 KB;Divers
Cascada - Because The Night (Clubland Live).mp3;.mp3;;;;2.772 KB;
Cascada - Dangerous(Official Music Video).mp3;.mp3;;;;4.418 KB;
Cascada - Evacuate the dancefloor.mp3;.mp3;Evacuate the Dancefloor;Cascada;Evacuate the Dancefloor;3.303 KB;Cascada
Cascada - Everytime We Touch.mp3;.mp3;Everytime We Touch;Cascada;Everytime We Touch;5.035 KB;Cascada
Cascada - I Will Believe It.mp3;.mp3;;;;3.057 KB;
Cascada - Pyromania (Official Video).mp3;.mp3;Cascada - Pyromania (Official Video);;;3.244 KB;
Cascada - Ready For Love - Unplugged.mp3;.mp3;Ready for Love;Cascada;;6.915 KB;
Cascada - Reason (Dave Darell Remix).mp3;.mp3;Reason;Cascada;;9.165 KB;
Cascada - Summer Of Love (Official Video).mp3;.mp3;Cascada - Summer Of Love (Official Video);;;3.416 KB;
Cascada - The World Is In My Hands (Ryan Thistlebeck vs. Manila Video Edit).mp3;.mp3;Cascada - The World Is In My Hands (Ryan Thistlebeck vs. Manila Video Edit);;;6.469 KB;
Cascada - What Hurts The Most.mp3;.mp3;Cascada - What Hurts The Most;;;6.942 KB;
Cascada - You (Official) feat. Robin Stjernberg (2).mp3;.mp3;;;;4.759 KB;
Cascada -Miracle.mp3;.mp3;Cascada - Miracle;;;5.357 KB;
Cascada Everytime we Touch Lyrics (Slow).m4a;.m4a;Cascada Everytime we Touch Lyrics (Slow);;;3.135 KB;
Cash Cash - Surrender (Tritonal Remix).mp3;.mp3;Surrender;Cash Cash;;7.850 KB;
Chris Brown - Don't Wake Me Up (Guiltyday Remix) [ aka_ SPICEBΘYz ].mp3;.mp3;Chris Brown - Don't Wake Me Up (Guiltyday Remix) [ aka: SPICEBΘYz ];;;15.615 KB;
Christina Grimmie singing  Demons  by Imagine Dragons.mp3;.mp3;Christina Grimmie singing  Demons  by Imagine Dragons;;;6.861 KB;
chucrutefc_2016-05-30T20_39_46-07_00.mp3;.mp3;Bundesliga temporada 15/16 - Retrospectiva;Chucrute FC;Chucrute FC;122.811 KB;
Ciúmes.mp3;.mp3;Ciúmes;Ultraje a Rigor;Acústico MTV;7.368 KB;Ultraje a Rigor
Cleopatra VS Marilyn Monroe. Epic Rap Battles of History Season 2..mp3;.mp3;Cleopatra VS Marilyn Monroe. Epic Rap Battles of History Season 2.;;;1.648 KB;
Come And Get It.mp3;.mp3;Come And Get It (Razihel Remix);Krewella;Come And Get It CDS;8.533 KB;
Coone - Colors of life (Official Videoclip).m4a;.m4a;Coone - Colors of life (Official Videoclip);;;3.833 KB;
Coone - Into The Madness (OUT NOW).m4a;.m4a;Coone - Into The Madness;;;3.239 KB;
Coone - Love For The Game (Official Music Video).m4a;.m4a;Coone - Love For The Game (Official Music Video);;;3.328 KB;
Coone - Million Miles (Da Tweekaz Remix).mp3;.mp3;Million Miles;Coone;;9.028 KB;
Coone - Music Is Art (Official Videoclip).m4a;.m4a;Coone - Music Is Art (Official Videoclip);;;3.335 KB;
Coone - Words From The Gang (2014 Remix) (Official Aftermovie_ Coone & The Gang 2014).mp3;.mp3;;;;4.268 KB;
Coone ft. K19 - Times Gettin' Hard (Official Music Video).m4a;.m4a;Coone ft. K19 - Times Gettin' Hard (Official Music Video);;;2.762 KB;
Coone ft. Matt Fryers - Last Man Standing (Official Music Video).mp3;.mp3;Last Man Standing;Coone Feat. Matt Fryers;;7.058 KB;
Coone ft. Scope DJ - Traveling (Da Tweekaz Remix).m4a;.m4a;Coone ft. Scope DJ - Traveling (Da Tweekaz Remix);;;4.390 KB;
Crystallize - Lindsey Stirling (Dubstep Violin Original Song).m4a;.m4a;Crystallize - Lindsey Stirling (Dubstep Violin Original Song);;;4.645 KB;
D-Block & S-te-Fan & Isaac - Alive (ft. Chris Madin) (Official Music Video).m4a;.m4a;D-Block & S-te-Fan & Isaac - Alive (ft. Chris Madin) (Official Music Video);;;3.266 KB;
Da Tweekaz & Coone - Born in the 80's.m4a;.m4a;Da Tweekaz & Coone - Born in the 80's;;;4.230 KB;
Da Tweekaz - Frozen (Disney Tool) (Official Preview).mp3;.mp3;Da Tweekaz - Frozen (Disney Tool) (Official Preview);;;7.127 KB;
Da Tweekaz - Game of Thrones (Official Video Clip).mp3;.mp3;Game Of Thrones;Rameses B;;7.641 KB;
Da Tweekaz ft. Elke Diels - Letting Go (Official Video Clip).m4a;.m4a;Da Tweekaz ft. Elke Diels - Letting Go (Official Video Clip);Da Tweekaz;;3.193 KB;
Da Tweekaz ft. Oscar - Break The Spell (Official 4K Video Clip).m4a;.m4a;Da Tweekaz ft. Oscar - Break The Spell (Official 4K Video Clip);;;3.577 KB;
Darren Styles & Manian - Outta My Head (Original Mix).mp3;.mp3;Outta My Head;Manian & Darren Styles;;5.859 KB;
David Guetta & Showtek ft Vassy - BAD (Kryptonix & Animaix Hardstyle Bootleg).mp3;.mp3;David Guetta & Showtek ft Vassy - BAD (Kryptonix & Animaix Hardstyle Bootleg);;;4.885 KB;
David Guetta - She Wolf (Lyrics Video) ft. Sia.mp3;.mp3;David Guetta - She Wolf (Lyrics Video) ft. Sia;;;3.547 KB;
David Guetta Titanium Violin Cover.mp3;.mp3;David Guetta Titanium Violin Cover;;;3.668 KB;
David Guetta, Alesso feat. Tegan Quin & Sara - .mp3;.mp3;David Guetta, Alesso feat. Tegan Quin & Sara - Every Chance We Get We Run (CDQ);;;3.752 KB;
Deep Purple - Smoke on the Water.mp3;.mp3;Deep Purple - Smoke on the Water;Deep Purple;Machine Head;5.318 KB;Deep Purple
Deixa Eu Dormir Na Sua Casa - A Banda Mais Bonita da Cidade.mp3;.mp3;A Banda Mais Bonita da Cidade - Deixa Eu Dormir Na Sua Casa;;;4.300 KB;
DESCOBRI QUE TE AMO - Fabio Brazza part. Diogo Paiva.mp3;.mp3;DESCOBRI QUE TE AMO - Fabio Brazza part. Diogo Paiva;;;4.697 KB;
Die Atzen - Party ( Ich will abgehen ) [Lyrics] HD HQ.mp3;.mp3;Party (Ich will abgehn) - Michael Mind Project Edit;Die Atzen;;7.425 KB;
Die Atzen - Strobo Pop mit Nena (Official Video HD).mp3;.mp3;Strobo Pop (Atzen Musik Mix);Die Atzen mit Nena;;6.685 KB;
Diplo & GTA - Boy Oh Boy (Original Mix).mp3;.mp3;Boy Oh Boy (Original Mix);Diplo &  GTA;ThisSongIsSick.com;10.277 KB;
DJ Antoine - Bella Vita (DJ Antoine vs. Mad Mark 2K13 Radio Edit) (Official HD).mp3;.mp3;DJ Antoine - Bella Vita (DJ Antoine vs. Mad Mark 2K13 Radio Edit) (Official HD);;;5.821 KB;
Dj Antoine - Ma Cherie (Original).mp3;.mp3;Dj Antoine - Ma Cherie (Original);;;3.012 KB;
DJ Antoine - Sky Is The Limit (Official) [HD].mp3;.mp3;DJ Antoine - Sky Is The Limit (Official) [HD];;;6.549 KB;
DJ Gollum vs  Empyre One – The Bad Touch.m4a;.m4a;DJ Gollum vs  Empyre One – The Bad Touch;;;4.157 KB;
Dj Street Style feat. Vanessa Mae - Euphoria (Piano and Violin).mp3;.mp3;Dj Street Style feat. Vanessa Mae - Euphoria (Piano and Violin);;;2.620 KB;
Doctor P feat. Eva Simons - Bulletproof (Vicetone Remix).mp3;.mp3;Doctor P feat. Eva Simons - Bulletproof (Vicetone Remix);;;7.506 KB;
Dominguinhos - Eu só  quero um xodó.m4a;.m4a;Dominguinhos - Eu só  quero um xodó;;;2.962 KB;
Don t Stop Believing Journey lyrics (2).mp3;.mp3;;;;0 KB;
Dont-You-Worry-Child-Radio-Edit-feat.-John-Martin.mp3;.mp3;Don't You Worry Child (Radio Edit) feat. John Martin;Swedish House Mafia;MyMusicIsBetterThanYours.com;8.387 KB;
